DAYS_20200101,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100-104,105-109,gr109
0,0.229062013959039,0.0,0.174461611467013,0.0,0.0,0.19758862837926,0.442224151629817,0.409541777356708,0.252637216746311,0.31900368768263,0.761120928161601,1.1579133243981,2.56078257515497,4.02059737142279,6.28301387199706,7.66060724240773,10.8701855268915,24.4543620468301,44.3981627233026,74.3254961226866,59.9700149925037,0.0,0.0
1,0.458124027918078,0.0,0.348923222934026,0.180112029682462,0.0,0.19758862837926,0.737040252716362,0.682569628927847,0.505274433492621,0.957011063047889,1.26853488026934,2.3158266487962,5.12156515030993,6.70099561903798,12.2668366072323,16.3658427451438,23.9144081591613,44.6762383547858,83.952889513154,136.263409558259,164.917541229385,0.0,0.0
2,0.916248055836157,0.0,0.348923222934026,0.180112029682462,0.0,0.19758862837926,0.737040252716362,0.819083554713416,1.51582330047786,1.48868387585227,2.53706976053867,3.90795746984359,6.40195643788742,9.53030488040956,18.9986371843721,26.2898112182629,35.5998576005696,68.1900480151993,120.278659014038,205.6338726061,284.857571214393,0.0,0.0
3,1.1453100697952,0.0,0.348923222934026,0.180112029682462,0.210593705775322,0.395177256758519,0.737040252716362,1.36513925785569,2.02109773397048,1.8076875635349,3.17133720067334,5.0658707942417,7.84239663641209,13.1041692105632,23.7856953725603,36.0396749813273,47.8288163183225,90.7633052891964,167.098539704066,250.229170279712,344.827586206897,0.0,0.0
4,1.1453100697952,0.0,0.523384834401038,0.180112029682462,0.421187411550644,0.395177256758519,0.737040252716362,1.50165318364126,2.14741634234364,2.33936037633928,3.93245812883494,7.23695827748814,10.8833259444086,16.5291225269603,29.9191136761765,42.481549253352,65.2211131613489,116.628495915651,203.42430920495,309.689567177861,419.790104947526,512.820512820513,0.0
5,1.37437208375423,0.0,0.523384834401038,0.180112029682462,0.421187411550644,0.395177256758519,0.884448303259634,1.7746810352124,2.77900938420942,2.44569493890016,4.69357905699654,9.40804576073458,13.7642063414579,19.9540758433575,35.0053630011265,49.6198423655955,77.4500718791018,139.201753189648,236.521121416866,366.672447538587,479.76011994003,512.820512820513,0.0
6,1.37437208375423,0.0,0.697846445868051,0.180112029682462,0.631781117325965,0.395177256758519,1.03185635380291,1.91119496099797,2.77900938420942,2.87103318914367,5.45469998515814,10.7106982506824,16.0048910947185,23.2301181459983,40.8395901679809,57.9768684482221,88.8637666823379,167.888600975353,280.919284140169,431.087877511582,524.737631184408,512.820512820513,0.0
7,2.06155812563135,0.0,0.697846445868051,0.180112029682462,0.631781117325965,0.592765885137779,1.32667245488945,2.04770888678354,3.28428381770204,3.40270600194805,5.83526044923894,12.1580899061801,18.8857714917679,26.2083384211263,44.8786705142647,66.3338945308487,105.440799610847,188.110477283308,343.883951275035,522.755989396229,584.707646176912,769.230769230769,0.0
8,2.29062013959039,0.0,0.697846445868051,0.180112029682462,0.842374823101287,0.592765885137779,1.32667245488945,2.18422281256911,3.6632396428215,3.82804425219155,6.08896742529281,13.4607423961279,21.4465540669229,28.7398256549851,51.9096622281662,74.8650253235301,120.115550072151,209.272905977681,379.402481453677,592.12645244407,704.647676161919,769.230769230769,0.0
9,2.29062013959039,0.0,0.697846445868051,0.180112029682462,1.05296852887661,0.790354513517038,1.47408050543272,2.32073673835468,3.6632396428215,4.25338250243506,6.34267440134668,14.7633948860758,24.3274344639722,32.4626009988951,57.4446982582588,83.2220514061567,134.518545895282,231.375887058469,420.571686888012,668.929465104179,809.595202398801,769.230769230769,0.0
10,2.51968215354943,0.0,0.697846445868051,0.180112029682462,1.05296852887661,0.790354513517038,1.47408050543272,2.59376458992582,4.16851407631412,4.89138987780032,6.85008835345441,16.500264872673,26.0879724843912,35.7386433015359,61.3341830361617,89.8380303882361,147.019259251207,258.651906264549,459.319174355621,735.822411614598,899.550224887556,769.230769230769,0.0
11,2.74874416750847,0.0,0.697846445868051,0.180112029682462,1.05296852887661,0.790354513517038,1.621488555976,2.73027851571139,4.54746990143359,5.4230626906047,7.61120928161601,17.9476565281706,28.1686083267046,39.4614186454459,68.0659836133014,97.3245329205891,163.324537541544,278.403506379297,505.331815723407,785.372742363055,1034.48275862069,1025.64102564103,0.0
12,2.97780618146751,0.175711411577625,0.697846445868051,0.360224059364925,1.05296852887661,0.790354513517038,1.621488555976,2.86679244149696,4.8001071181799,5.63573181572646,9.00659764991228,19.2503090181184,29.7690974361765,42.4396389205738,73.750615211775,106.900291973599,175.281741621125,302.387592232918,541.657585224291,857.220721948319,1079.46026986507,1025.64102564103,0.0
13,2.97780618146751,0.175711411577625,0.697846445868051,0.360224059364925,1.26356223465193,0.987943141896298,1.621488555976,3.00330636728253,4.92642572655306,6.06107006596996,9.51401160202001,20.9871790047156,31.8497332784899,45.5667702094582,79.8840335153911,113.516270955678,189.412982806084,325.431125700124,589.284705236561,901.816019621931,1154.4227886057,1025.64102564103,0.0
14,3.20686819542655,0.175711411577625,0.697846445868051,0.360224059364925,1.26356223465193,0.987943141896298,1.76889660651927,3.1398202930681,5.68433737679199,6.69907744133522,10.4019860182085,22.2898314946635,34.5705647645921,48.5449904845862,85.7182606822455,123.788448848907,203.272469352871,347.534106780912,630.453910670897,971.186482669772,1289.35532233883,1282.05128205128,0.0
15,3.43593020938559,0.35142282315525,0.697846445868051,0.360224059364925,1.26356223465193,1.18553177027556,2.06371270760581,3.27633421885367,6.31593041865776,7.33708481670048,11.2899604343971,22.8687881568625,37.2913962506942,53.0123208972782,90.5053188704338,130.578532541041,213.599145603418,363.523497349994,668.394158816264,1033.12439610534,1304.34782608696,1282.05128205128,0.0
16,3.66499222334463,0.35142282315525,0.697846445868051,0.360224059364925,1.47415594042725,1.38312039865482,2.06371270760581,3.27633421885367,6.44224902703092,7.86875762950486,11.7973743865048,24.0267014812606,38.7318364492189,57.3307402962138,96.7883327424308,138.239139783449,226.099858959343,387.977859396824,713.599560861809,1080.19721031638,1409.29535232384,1282.05128205128,0.0
17,3.66499222334463,0.35142282315525,0.697846445868051,0.360224059364925,1.68474964620257,1.77829765541334,2.06371270760581,3.5493620704248,6.56856763540407,8.50676500487012,12.6853488026934,25.039875640109,39.0519342711133,60.4578715850982,101.724986499,145.899747025856,239.415836229785,407.259183318363,760.419441551837,1137.18009067711,1469.26536731634,1538.46153846154,0.0
18,3.66499222334463,0.35142282315525,0.697846445868051,0.360224059364925,1.68474964620257,1.77829765541334,2.06371270760581,3.82238992199594,6.69488624377723,9.03843781767451,13.319616242828,27.0662239578056,41.452667935321,63.8828249014954,108.307191507759,152.341621297881,251.91654958571,432.183821558401,803.203125630656,1209.02807026237,1514.24287856072,1538.46153846154,0.0
19,4.1231162512627,0.35142282315525,0.697846445868051,0.360224059364925,1.8953433519779,1.9758862837926,2.21112075814909,3.95890384778151,6.69488624377723,9.35744150535714,14.2075906590166,27.9346589511042,43.3732548666873,67.1588672041362,113.842227537851,163.832532161493,261.42796192174,460.400393150898,850.023006320684,1273.44350023536,1589.20539730135,1794.87179487179,0.0
20,4.58124027918078,0.35142282315525,0.872308057335064,0.360224059364925,2.31653076352854,2.17347491217185,2.21112075814909,3.95890384778151,7.20016067726985,10.2081180058441,15.0955650752051,30.3952247654502,46.0940863527894,71.0305535618025,119.227667999563,171.4931394039,275.015693830354,488.146688550186,891.192211755019,1360.15657904517,1634.18290854573,1794.87179487179,0.0
21,4.58124027918078,0.35142282315525,1.04676966880208,0.360224059364925,2.94831188085451,2.37106354055111,2.35852880869236,4.09541777356708,7.45279789401616,10.7397908186485,15.8566860033667,31.2636597587488,47.5345265513141,74.3065958644433,125.51068187156,178.283223096034,287.244652548107,510.719945824183,930.74693854487,1402.27436018135,1754.12293853073,1794.87179487179,0.0
22,4.81030229313982,0.35142282315525,1.04676966880208,0.360224059364925,2.94831188085451,2.37106354055111,2.6533449097789,4.09541777356708,8.08439093588194,11.2714636314529,16.4909534435014,32.2768339175971,49.6151623936275,78.7739262771353,131.045717901653,188.207191569154,300.288875180377,532.822926904971,969.49442601248,1484.03240591631,1829.08545727136,1794.87179487179,0.0
23,5.03936430709886,0.35142282315525,1.04676966880208,0.540336089047387,2.94831188085451,2.56865216893037,2.80075296032217,4.23193169935265,8.33702815262825,11.5904673191355,18.0131952998246,33.8689647386445,52.0158960578353,82.4967016210453,135.68318052146,194.649065841178,313.333097812647,560.569222304259,1015.50706738027,1541.01528627704,1949.02548725637,2051.28205128205,0.0
24,5.49748833501694,0.35142282315525,1.04676966880208,0.540336089047387,3.15890558662983,2.56865216893037,3.09556906140872,4.36844562513822,8.58966536937456,12.2284746945008,18.9011697160131,35.0268780630426,53.6163851673071,86.5172989924681,140.619834278029,204.050720184133,328.551357550295,582.672203385048,1059.90523010357,1593.04313356292,2008.99550224888,2051.28205128205,0.0
25,5.95561236293502,0.35142282315525,1.04676966880208,0.540336089047387,3.15890558662983,2.56865216893037,3.24297711195199,4.50495955092379,9.09493980286718,12.6538129447443,20.0428511082555,36.61900888409,55.5369720986734,89.9422523088653,145.556488034598,211.885432136596,343.497862649771,607.596841625086,1085.73688841531,1647.54849738622,2038.98050974513,2051.28205128205,0.0
26,6.4137363908531,0.35142282315525,1.04676966880208,0.540336089047387,3.15890558662983,2.56865216893037,3.53779321303854,5.05101525406607,9.34757701961349,13.7171585703531,20.5502650603632,38.3558788706871,58.2578035847755,93.2182946115061,150.94192849631,217.630887568401,354.911557453007,629.229546512667,1134.17124774982,1726.82902658375,2113.94302848576,2051.28205128205,0.0
27,6.4137363908531,0.35142282315525,1.04676966880208,0.540336089047387,3.58009299818047,2.56865216893037,3.83260931412508,5.18752917985164,9.72653284473296,14.0361622580357,21.6919464526056,39.3690530295355,60.6585372489833,95.8986928591212,155.878582252879,227.380751331466,366.597006894415,652.273079979872,1179.37664979536,1793.72197309417,2203.89805097451,2051.28205128205,0.0
28,6.4137363908531,0.35142282315525,1.04676966880208,0.540336089047387,3.58009299818047,2.56865216893037,4.2748334657549,5.46055703142278,10.3581258865987,14.2488313831575,22.3262138927403,41.2506621816824,62.5791241803495,100.0682012443,161.11442714621,236.956510384475,378.282456335823,677.667994413119,1226.19653048539,1838.31727076778,2263.86806596702,2051.28205128205,0.0
29,6.4137363908531,0.35142282315525,1.04676966880208,0.72044811872985,3.79068670395579,2.56865216893037,4.42224151629817,5.87009880877948,10.3581258865987,14.5678350708401,22.833627844848,42.69805383718,64.4997111117157,103.046421519428,168.295014428493,244.617117626883,392.14194288261,701.181804073532,1265.75125727524,1897.77766766593,2338.83058470765,2051.28205128205,0.0
30,6.64279840481213,0.35142282315525,1.04676966880208,0.72044811872985,3.79068670395579,2.76624079730963,4.56964956684144,6.00661273456505,10.4844444949719,15.0995078836445,23.3410417969558,44.0007063271279,65.9401513102404,107.662662945877,173.830050458585,252.6259342894,403.555637685846,722.814508961113,1317.41457389872,1962.19309763893,2443.77811094453,2051.28205128205,0.0
31,6.64279840481213,0.35142282315525,1.04676966880208,0.72044811872985,3.79068670395579,3.35900668244741,4.56964956684144,6.14312666035062,10.4844444949719,15.4185115713271,23.4678952849827,45.737576313725,68.0207871525538,110.789794234761,180.861042172487,259.764227401644,421.219689167045,752.441909133234,1355.35482204409,2036.51859376161,2578.71064467766,2051.28205128205,0.0
32,6.64279840481213,0.35142282315525,1.22123128026909,0.72044811872985,4.00128040973111,3.35900668244741,4.56964956684144,6.14312666035062,10.610763103345,15.7375152590097,24.3558697011712,46.7507504725734,70.2614719058144,113.916925523646,186.695269339341,268.46946290438,435.350930352004,780.188204532522,1407.01813866757,2108.36657334688,2668.66566716642,2307.69230769231,0.0
