DAYS_20200101,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100-104,105-109,gr109
0,0.229062013959039,0.0,0.174461611467013,0.0,0.0,0.19758862837926,0.442224151629817,0.409541777356708,0.252637216746311,0.31900368768263,0.761120928161601,1.1579133243981,2.56078257515497,4.02059737142279,6.28301387199706,7.66060724240773,10.8701855268915,24.4543620468301,44.3981627233026,74.3254961226866,59.9700149925037,0.0,0.0
1,0.229062013959039,0.0,0.174461611467013,0.180112029682462,0.0,0.0,0.294816101086545,0.273027851571139,0.252637216746311,0.638007375365259,0.507413952107734,1.1579133243981,2.56078257515497,2.68039824761519,5.98382273523529,8.70523550273606,13.0442226322698,20.2218763079557,39.5547267898514,61.9379134355722,104.947526236882,0.0,0.0
2,0.458124027918078,0.0,0.0,0.0,0.0,0.0,0.0,0.136513925785569,1.01054886698524,0.531672812804383,1.26853488026934,1.59213082104739,1.28039128757748,2.82930926137159,6.7318005771397,9.9239684731191,11.6854494414083,23.5138096604136,36.3257695008839,69.3704630478408,119.940029985007,0.0,0.0
3,0.229062013959039,0.0,0.0,0.0,0.210593705775322,0.19758862837926,0.0,0.546055703142278,0.505274433492621,0.31900368768263,0.634267440134668,1.1579133243981,1.44044019852467,3.57386433015359,4.78705818818823,9.74986376306438,12.2289587177529,22.573257273997,46.8198806900282,44.595297673612,59.9700149925037,0.0,0.0
4,0.0,0.0,0.174461611467013,0.0,0.210593705775322,0.0,0.0,0.136513925785569,0.126318608373155,0.531672812804383,0.761120928161601,2.17108748324644,3.04092930799652,3.42495331639719,6.13341830361617,6.44187427202468,17.3922968430264,25.8651906264549,36.3257695008839,59.4603968981493,74.9625187406297,512.820512820513,0.0
5,0.229062013959039,0.0,0.0,0.0,0.0,0.0,0.147408050543272,0.273027851571139,0.631593041865776,0.106334562560877,0.761120928161601,2.17108748324644,2.88088039704934,3.42495331639719,5.08624932495,7.13829311224357,12.2289587177529,22.573257273997,33.0968122119165,56.9828803607264,59.9700149925037,0.0,0.0
6,0.0,0.0,0.174461611467013,0.0,0.210593705775322,0.0,0.147408050543272,0.136513925785569,0.0,0.425338250243506,0.761120928161601,1.30265248994786,2.2406847532606,3.27604230264079,5.83422716685441,8.35702608262661,11.4136948032361,28.6868477857045,44.3981627233026,64.4154299729951,44.9775112443778,0.0,0.0
7,0.687186041877117,0.0,0.0,0.0,0.0,0.19758862837926,0.294816101086545,0.136513925785569,0.505274433492621,0.531672812804383,0.380560464080801,1.44739165549763,2.88088039704934,2.97822027512799,4.03908034628382,8.35702608262661,16.5770329285095,20.2218763079557,62.9646671348655,91.6681118846468,59.9700149925037,256.410256410256,0.0
8,0.229062013959039,0.0,0.0,0.0,0.210593705775322,0.0,0.0,0.136513925785569,0.378955825119466,0.425338250243506,0.253706976053867,1.30265248994786,2.56078257515497,2.53148723385879,7.03099171390147,8.53113079268133,14.6747504613035,21.1624286943722,35.5185301786421,69.3704630478408,119.940029985007,0.0,0.0
9,0.0,0.0,0.0,0.0,0.210593705775322,0.19758862837926,0.147408050543272,0.136513925785569,0.0,0.425338250243506,0.253706976053867,1.30265248994786,2.88088039704934,3.72277534390999,5.53503603009264,8.35702608262661,14.4029958231312,22.1029810807887,41.1692054343351,76.8030126601095,104.947526236882,0.0,0.0
10,0.229062013959039,0.0,0.0,0.0,0.0,0.0,0.0,0.273027851571139,0.505274433492621,0.638007375365259,0.507413952107734,1.73686998659715,1.76053802041904,3.27604230264079,3.88948477790294,6.6159789820794,12.5007133559252,27.2760192060797,38.7474874676095,66.892946510418,89.9550224887556,0.0,0.0
11,0.229062013959039,0.0,0.0,0.0,0.0,0.0,0.147408050543272,0.136513925785569,0.378955825119466,0.531672812804383,0.761120928161601,1.44739165549763,2.08063584231341,3.72277534390999,6.7318005771397,7.48650253235301,16.3052782903372,19.7516001147474,46.0126413677863,49.5503307484577,134.932533733133,256.410256410256,0.0
12,0.229062013959039,0.175711411577625,0.0,0.180112029682462,0.0,0.0,0.0,0.136513925785569,0.252637216746311,0.212669125121753,1.39538836829627,1.30265248994786,1.60048910947185,2.97822027512799,5.68463159847353,9.57575905300966,11.9572040795806,23.9840858536218,36.3257695008839,71.8479795852637,44.9775112443778,0.0,0.0
13,0.0,0.0,0.0,0.0,0.210593705775322,0.19758862837926,0.0,0.136513925785569,0.126318608373155,0.425338250243506,0.507413952107734,1.73686998659715,2.08063584231341,3.12713128888439,6.13341830361617,6.6159789820794,14.1312411849589,23.0435334672053,47.62712001227,44.595297673612,74.9625187406297,0.0,0.0
14,0.229062013959039,0.0,0.0,0.0,0.0,0.0,0.147408050543272,0.136513925785569,0.757911650238932,0.638007375365259,0.887974416188535,1.30265248994786,2.72083148610215,2.97822027512799,5.83422716685441,10.2721778932285,13.8594865467866,22.1029810807887,41.1692054343351,69.3704630478408,134.932533733133,256.410256410256,0.0
15,0.229062013959039,0.175711411577625,0.0,0.0,0.0,0.19758862837926,0.294816101086545,0.136513925785569,0.631593041865776,0.638007375365259,0.887974416188535,0.578956662199051,2.72083148610215,4.46733041269198,4.78705818818823,6.79008369213412,10.3266762505469,15.9893905690812,37.9402481453677,61.9379134355722,14.9925037481259,0.0,0.0
16,0.229062013959039,0.0,0.0,0.0,0.210593705775322,0.19758862837926,0.0,0.0,0.126318608373155,0.531672812804383,0.507413952107734,1.1579133243981,1.44044019852467,4.31841939893558,6.28301387199706,7.66060724240773,12.5007133559252,24.4543620468301,45.2054020455444,47.0728142110349,104.947526236882,0.0,0.0
17,0.0,0.0,0.0,0.0,0.210593705775322,0.395177256758519,0.0,0.273027851571139,0.126318608373155,0.638007375365259,0.887974416188535,1.01317415884834,0.320097821894371,3.12713128888439,4.93665375656912,7.66060724240773,13.3159772704421,19.2813239215391,46.8198806900282,56.9828803607264,59.9700149925037,256.410256410256,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273027851571139,0.126318608373155,0.531672812804383,0.634267440134668,2.02634831769668,2.40073366420778,3.42495331639719,6.58220500875882,6.44187427202468,12.5007133559252,24.9246382400384,42.7836840788188,71.8479795852637,44.9775112443778,0.0,0.0
19,0.458124027918078,0.0,0.0,0.0,0.210593705775322,0.19758862837926,0.147408050543272,0.136513925785569,0.0,0.31900368768263,0.887974416188535,0.868434993298577,1.92058693136623,3.27604230264079,5.53503603009264,11.4909108636116,9.51141233603004,28.2165715924963,46.8198806900282,64.4154299729951,74.9625187406297,256.410256410256,0.0
20,0.458124027918078,0.0,0.174461611467013,0.0,0.421187411550644,0.19758862837926,0.0,0.0,0.505274433492621,0.850676500487012,0.887974416188535,2.46056581434597,2.72083148610215,3.87168635766639,5.38544046171176,7.66060724240773,13.5877319086143,27.746295399288,41.1692054343351,86.713078809801,44.9775112443778,0.0,0.0
